Feature,F-Score,p-value
feature_14,382.64962592294245,2.2093548258252187e-72
feature_15,238.7078060486993,1.916572530379184e-48
feature_16,143.13493155163883,6.383541657643018e-31
feature_11,128.76648423640802,3.723849359033922e-28
feature_9,109.80091814701053,1.9057839522737464e-24
feature_2,108.86357613168792,2.9185265039949688e-24
feature_17,99.01003429406825,2.638212225357611e-22
feature_7,92.74131244488895,4.741509199334351e-21
feature_4,20.68696514473404,6.0724082255710655e-06
feature_5,3.161479386729501,0.07569924330905521
feature_6,2.9501483739503276,0.08617988733023121
feature_12,2.125553843078142,0.14517500989781312
feature_13,1.2254907926500351,0.2685525165230408
feature_3,1.0878019919326294,0.2972113040881475
feature_19,0.25321157795220817,0.6149337662492552
feature_18,0.20786296460609374,0.648546758351062
feature_0,0.15680655105540436,0.692198470577762
feature_8,0.15409211850318907,0.6947388811452857
feature_10,0.08794970600684215,0.7668617474315031
feature_1,0.03611224799533218,0.8493225200617472
